[2025-06-26 14:30:20] [INFO    ] discord.client: logging in using static token
[2025-06-26 14:30:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'abyzmal bot', 'primary_guild': None, 'mfa_enabled': True, 'id': '1387521864192102602', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '7400', 'clan': None, 'bot': True, 'avatar': '50095fed62136bc21f39b5ce31f58cd7'}, 'session_type': 'normal', 'session_id': 'f43cf7c62e88e6c958ca4bfdd4f27190', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['newark', 'us-east', 'us-central', 'atlanta', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1387521864192102602', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-b-j8zp",{"micros":108753,"calls":["id_created",{"micros":908,"calls":[]},"session_lookup_time",{"micros":623,"calls":[]},"session_lookup_finished",{"micros":18,"calls":[]},"discord-sessions-prd-2-169",{"micros":106633,"calls":["start_session",{"micros":81429,"calls":["discord-api-rpc-5865984f49-8jc4f",{"micros":71031,"calls":["get_user",{"micros":9642},"get_guilds",{"micros":6904},"send_scheduled_deletion_message",{"micros":13},"guild_join_requests",{"micros":469},"authorized_ip_coro",{"micros":13},"pending_payments",{"micros":1425},"apex_experiments",{"micros":6},"user_activities",{"micros":3},"played_application_ids",{"micros":2}]}]},"starting_guild_connect",{"micros":26,"calls":[]},"presence_started",{"micros":291,"calls":[]},"guilds_started",{"micros":1,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":0,"calls":[]},"presence_connect",{"micros":24833,"calls":[]},"connect_finished",{"micros":24867,"calls":[]},"build_ready",{"micros":16,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-06-26 14:30:22] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-26 14:30:22] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: f43cf7c62e88e6c958ca4bfdd4f27190).
[2025-06-26 14:30:22] [DEBUG   ] discord.client: Dispatching event connect
[2025-06-26 14:30:24] [DEBUG   ] discord.client: Dispatching event ready
[2025-06-26 14:31:03] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 1.
[2025-06-26 14:31:03] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-06-26 14:31:44] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 1.
[2025-06-26 14:31:44] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-06-26 14:32:25] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 1.
[2025-06-26 14:32:25] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
